refcode	metal	charge_cif
IYEWOZ	Re	1
IYEWUF	Re	1
IYEXAM	Re	1
IYEXIU	Re	1
IYEXUG	Re	1
IZADUI	Re	1
JACNUW	Re	7
JACROU	Re	7
JAFQEM	Re	4
JAFQIQ	Re	4
JAGDUR	Re	5
JAGKUX	Re	3
JAHVEU	Re	5
JAHVIY	Re	5
JAKFEH	Re	5
JANSEW	Re	2
JAPPEW	Re	5
JAPPIA	Re	5
JAPPUM	Re	5
JAQPUM	Re	5
JARSEB	Re	1
JARSIF	Re	1
JASPUO	Re	3
JATTUT	Re	5
JAWBEO	Re	7
JEBDEA	Re	5
JEBDIE	Re	5
JEFSET	Re	5
JEFSIX	Re	5
JEHBII	Re	3
JEKRAS	Re	1
JEKREW	Re	1
JENMUK	Re	7
JETHEY	Re	1
JETHOI	Re	1
JEXBAS	Re	1
JEZCIA	Re	5
JEZVAL	Re	3
JIBSES	Re	7
JIBSIW	Re	7
JIBSOC	Re	7
JIFVOJ	Re	5
JILCOW	Re	7
JILCUC	Re	7
JIMMAW	Re	1
JIPVAF	Re	3
JISTUB	Re	1
JITKAY	Re	5
JITKEC	Re	5
JOBQIA	Re	3
JOBQOG	Re	4
JOHSOR	Re	1
JOMNUW	Re	1
JUKPAG	Re	4
JUKSOZ	Re	5
JUSYUR	Re	5
JUTCOQ	Re	5
JUYVII	Re	7
KACMIM	Re	3
KAHXEZ	Re	4
KALPOD	Re	3
KAMYOM	Re	7
KAMYUS	Re	7
KAPPOG	Re	1
KARKOE	Re	5
KARKUK	Re	5
KARLAR	Re	5
KARPEZ	Re	5
KARPID	Re	5
KARPOJ	Re	5
KARPUP	Re	5
KARQAW	Re	5
KATHIW	Re	7
KATHOC	Re	5
KATTAA	Re	7
KATTEE	Re	6
KAYHIB	Re	5
KAYNUU	Re	7
KAZDOE	Re	4
KAZNII	Re	7
KEBGOO	Re	5
KEBGUU	Re	5
KEGSUK	Re	5
KEHMAL	Re	5
KEHZOP	Re	1
KEJKUG	Re	1
KEJLER	Re	1
KEJLIV	Re	1
KELMEV	Re	3
KELZEG	Re	7
KEMCOU	Re	4
KEMHAM	Re	4
KEVZER	Re	5
KEVZIV	Re	5
KEWZIV	Re	6
KEWZOB	Re	4
KEXTAJ	Re	7
KIBKOW	Re	5
KIDJAJ	Re	1
KIFVIE	Re	5
KIFVUQ	Re	5
KIHPOH	Re	1
KIHTAX	Re	5
KIHTEB	Re	5
KIJMAS	Re	5
KIJMOG	Re	5
KIJNAT	Re	5
KISXOZ	Re	7
KITTIT	Re	1
KITTUF	Re	1
KITVUH	Re	1
KITWAO	Re	1
KIWDOJ	Re	7
KIYFII	Re	5
KOGFAP	Re	1
KOGKAT	Re	1
KOGRAA	Re	1
KOHSOQ	Re	3
KOHSUW	Re	1
KOLTIP	Re	1
KOSSET	Re	5
KOVKUB	Re	5
KOVLAI	Re	5
KOVTEU	Re	5
KOXBAC	Re	1
KOXMIT	Re	7
KOXMOZ	Re	7
KUBRAC	Re	7
KUBREG	Re	7
KUBRIK	Re	7
KUCXIQ	Re	3
KUCXOW	Re	3
KUHXAN	Re	5
KUNNIR	Re	1
LAFLEK	Re	4
LAFLIO	Re	5
LAGFOP	Re	3
LAJGAI	Re	1
LAJGOW	Re	1
LAKKAL	Re	1
LALHUB	Re	5
LALROH	Re	1
LALRUN	Re	1
LALSAU	Re	1
LALSEY	Re	1
LALVAX	Re	1
LALVEB	Re	1
LALVIF	Re	1
LALVOL	Re	1
LALVUR	Re	1
LALWEC	Re	1
LAXCOD	Re	5
LAXKEB	Re	1
LAYDAS	Re	5
LAYDEW	Re	5
LEBZEY	Re	3
LEBZUO	Re	3
LECBEB	Re	3
LECBIF	Re	3
LEHTAT	Re	5
LENGOB	Re	1
LENGUH	Re	1
LETRAE	Re	1
LEWWUF	Re	3
LEWXIV	Re	5
LIBGUY	Re	5
LIDQAQ	Re	5
LIDQEU	Re	5
LIDQIY	Re	3
LIDQOE	Re	3
LIFGOW	Re	5
LIHRAV	Re	2
LIJFIT	Re	3
LIKVOQ	Re	5
LIKXEI	Re	5
LIMDER	Re	1
LIMDOB	Re	1
LINYAJ	Re	5
LINYEN	Re	5
LINYIR	Re	5
LIQBIW	Re	3
LIQBOC	Re	3
LIQHOI	Re	3
LIQHUO	Re	3
LIVDOK	Re	5
LIWSER	Re	7
LIYFIK	Re	7
LIZPIV	Re	1
LOCVAA	Re	1
LOLMOO	Re	5
LONZOE	Re	5
LOPWAO	Re	5
LORMEM	Re	6
LORYAS	Re	5
LORYEW	Re	5
LOWNOA	Re	3
LUDGAU	Re	1
LUGBOE	Re	5
LUKJIM	Re	2
LULNEL	Re	1
LULNOV	Re	1
LULPEN	Re	1
LURNAO	Re	4
LUSJEO	Re	5
LUSKEQ	Re	5
LUSKIU	Re	5
LUSKOA	Re	7
LUVPEA	Re	5
LUVQAX	Re	5
LUVZUZ	Re	1
LUWBAI	Re	1
LUWBEM	Re	1
LUWBUA	Re	5
LUWFIT	Re	5
LUWFOZ	Re	5
LUXMUO	Re	5
LUYXAE	Re	5
LUYXIM	Re	5
LUYXOS	Re	5
LUYYAF	Re	5
LUZFIV	Re	5
LUZFOB	Re	3
LUZFUH	Re	5
LUZGAR	Re	2
LUZGEV	Re	2
MABMOS	Re	2
MAFBRE	Re	4
MAHVUM	Re	5
MALFEL	Re	7
MAMGEO	Re	1
MANQOJ	Re	1
MANQUP	Re	1
MAPHUH	Re	7
MATQAA	Re	1
MAXNII	Re	1
MAYGOI	Re	5
MAYGUO	Re	5
MAYHAV	Re	5
MAYHEZ	Re	5
MAYHID	Re	5
MAYHOJ	Re	5
MAYHUP	Re	5
MAYJAX	Re	5
MAZJUS	Re	5
MEBTIX	Re	1
MEGTIB	Re	1
MEKVAZ	Re	5
MELDOW	Re	1
MENBIQ	Re	5
MENBOW	Re	5
MENCEO	Re	1
MEPBAL	Re	5
MEPKAU	Re	1
MEPKIC	Re	1
MEQZUD	Re	1
MERBAM	Re	1
MICSAS	Re	1
MICWAX	Re	1
MICWEB	Re	1
MICWIF	Re	1
MICWUR	Re	1
MIFBEI	Re	5
MIKZAI	Re	3
MIKZEM	Re	3
MILLAU	Re	4
MIQZOC	Re	5
MIRTIQ	Re	5
MIVJAC	Re	1
MIWYAT	Re	1
MIYRIW	Re	5
MIYROC	Re	5
MIYRUI	Re	3
MIYWEW	Re	1
MIYWIA	Re	1
MIYWOG	Re	1
MIYWUM	Re	1
MOBWAC	Re	1
MOFPEC	Re	5
MOMPIN	Re	1
MOMPOT	Re	1
MONDUP	Re	1
MONFAX	Re	1
MONFEB	Re	1
MOPSEP	Re	5
MOPXIZ	Re	1
MOTVIA	Re	6
MOWZON	Re	5
MOYFAI	Re	5
MOYFEM	Re	5
MOYFIQ	Re	5
MOYFOW	Re	5
MOYGAJ	Re	5
MUBRUZ	Re	1
MUBSEK	Re	5
MUBSIO	Re	5
MUBZIS	Re	4
MUXJAS	Re	7
MUXQOM	Re	1
MUXXAE	Re	5
MUXYUZ	Re	1
MUXZEK	Re	1
MUYGUK	Re	1
MUYREF	Re	5
MUZFAR	Re	4
MUZFEV	Re	4
NACCRE01	Re	5
NACYUL	Re	5
NAFCAB	Re	7
NAFXUP	Re	1
NAGXIF	Re	5
NAGXOL	Re	5
NAHDAB	Re	5
NAHTAR	Re	7
NAKDIN	Re	1
NAMBIN	Re	3
NANTAX	Re	1
NANTUR	Re	1
NAPPAV	Re	2
NARJAS	Re	1
NARJEW	Re	1
NARJIA	Re	1
NARJOG	Re	1
NARTUW	Re	5
NARVEI	Re	5
NASVOS	Re	5
NAXZIV	Re	5
NAXZOB	Re	5
NAZKUU	Re	1
NEBKEK	Re	1
NECLOW01	Re	5
NEDQOE	Re	5
NEDRAR	Re	5
NEGTOI	Re	5
NENSAA	Re	1
NEPQIJ	Re	4
NESDAQ	Re	5
NESJUR	Re	1
NESKAY	Re	1
NETMEF	Re	1
NEWLIL	Re	5
NEXCUO	Re	5
NEXDAV	Re	5
NEXDEZ	Re	5
NEXSOZ	Re	7
NEXSUF	Re	7
NEZJAD	Re	3
NEZJEH	Re	3
NEZWUK	Re	7
NIBHEM	Re	7
NIFWOP	Re	1
NIFZIL	Re	7
NIGLEW	Re	5
NIKHEU	Re	5
NIKPOM	Re	5
