refcode	metal	charge_cif
PUGYOF	Cr	0
PUHTEU	Cr	0
PUHYUP	Cr	0
PUHZEA	Cr	0
PUJBII	Cr	0
PUJLUB	Cr	0
PUJMAI	Cr	0
PUKGAF	Cr	3
PURBUC	Cr	0
PUTMOJ	Cr	0
PUVLAV	Cr	2
PUVSEF	Cr	3
PUXVIO	Cr	3
PUXVOU	Cr	2
PUYZUH	Cr	6
PUZJEC	Cr	6
PUZJOM	Cr	6
PUZKAZ	Cr	6
PUZKED	Cr	6
PUZPIM	Cr	6
PYCXCR	Cr	3
PYTCCR	Cr	3
QAHJOA	Cr	3
QAHKIV	Cr	2
QALFIT	Cr	3
QALLEW	Cr	0
QANBIQ	Cr	3
QAPCOA	Cr	0
QAPCUG	Cr	0
QAPDER	Cr	0
QAPDIV	Cr	0
QAQCIU	Cr	2
QARBEQ	Cr	0
QATHEY	Cr	3
QATHIC	Cr	3
QATHOI	Cr	3
QATYAL	Cr	3
QAVZET	Cr	3
QAVZIX	Cr	3
QAWZAP	Cr	3
QAWZET	Cr	3
QAWZIX	Cr	3
QEDRAS	Cr	0
QEDXUS	Cr	0
QEFSID	Cr	0
QEFSOJ	Cr	0
QEFSUP	Cr	0
QEGWEH	Cr	3
QEGWIL	Cr	3
QEGWOR	Cr	3
QEHQEZ	Cr	0
QEHQID	Cr	0
QEHQOJ	Cr	0
QEHQUP	Cr	0
QELBIS	Cr	3
QEQVAK	Cr	3
QEQVEO	Cr	3
QERRAH	Cr	3
QESZET	Cr	0
QEXSES	Cr	3
QEYKAG	Cr	3
QIJVIO	Cr	0
QIKRIL	Cr	0
QIRWEV	Cr	3
QIRWIZ	Cr	2
QIRWOF	Cr	2
QIRWUL	Cr	2
QIXHOV	Cr	3
QODYUD	Cr	3
QOFVIQ	Cr	3
QOFVOW	Cr	3
QOFVUC	Cr	3
QOFWAJ	Cr	3
QOFWEN	Cr	3
QOLWOF	Cr	2
QOMHOQ	Cr	1
QOVZEI	Cr	3
QOWGEQ	Cr	3
QOWZIM	Cr	3
QOWZOS	Cr	3
QOXBAH	Cr	3
QOYTED	Cr	0
QQQFYV01	Cr	3
QUSCEM	Cr	3
QUSCIQ	Cr	3
QUTFIW	Cr	3
QUTQAX	Cr	0
RADBAA	Cr	3
RADBIK	Cr	3
RAFBUW	Cr	2
RAFCAD	Cr	2
RAFCEH	Cr	2
RALVOP	Cr	3
RANXIP	Cr	0
RANXOV	Cr	0
RAPCIU01	Cr	1
RAPHAS	Cr	0
RAPJUP	Cr	3
RASLOP	Cr	3
RASLUV	Cr	3
RASMAC	Cr	3
RATSEK	Cr	0
RAVGOK	Cr	3
RAWTEO	Cr	3
RAYJAC	Cr	0
REBWAZ	Cr	0
REGGEP	Cr	0
REHSEC	Cr	0
REJPOM	Cr	2
REPHOK	Cr	2
REQPIO	Cr	3
RESXOF	Cr	3
RIBWAA	Cr	0
RILKOM	Cr	0
RIMDIA	Cr	0
RINZOE	Cr	3
RINZUK	Cr	3
RIQQAJ	Cr	0
RIQQEN	Cr	0
RIRJOR	Cr	0
RIRJUX	Cr	0
RIRKAE	Cr	0
RISWIC	Cr	2
RIVQIX	Cr	3
RIWXEA	Cr	2
RIWXOK	Cr	2
RIXBUX	Cr	3
RIXCAE	Cr	3
ROCCOB	Cr	2
ROCCUH	Cr	2
ROKBUO	Cr	0
ROMVAR	Cr	3
ROTKES	Cr	3
ROZNOK	Cr	2
RUDXOE	Cr	2
RUGTAR	Cr	0
RUHHOS	Cr	3
RUHHUY	Cr	3
RUJHIP	Cr	0
RUJLOZ	Cr	0
RUJQAQ	Cr	0
RUKLAK	Cr	0
RUKLEO	Cr	0
RUNRIB	Cr	3
RUVLEZ	Cr	3
RUWSAG	Cr	2
RUWSOU	Cr	2
SACTEV	Cr	3
SAFNES	Cr	3
SAKROO	Cr	3
SAMMOJ	Cr	3
SAMWOS	Cr	0
SATSEO	Cr	3
SATSIS	Cr	3
SATTEP	Cr	3
SAWREN	Cr	0
SAWRIR	Cr	0
SAXQIR	Cr	0
SAXQOX	Cr	0
SAYDOM	Cr	2
SCYSCR	Cr	3
SEBXAA	Cr	3
SEGFAM	Cr	3
SEKHEX	Cr	0
SENJAW	Cr	0
SEPHOL	Cr	3
SEPHUR	Cr	3
SEPJAZ	Cr	3
SEPJED	Cr	3
SEPZOC	Cr	6
SEZTUM	Cr	2
SEZVAU	Cr	2
SEZVEY	Cr	2
SIDPOL	Cr	3
SIJCEU	Cr	3
SIJCIY	Cr	3
SIJHIC	Cr	0
SIJJOK	Cr	3
SIKZOE	Cr	0
SIKZUK	Cr	0
SILBAT	Cr	0
SIMQOU	Cr	0
SOBXAI	Cr	0
SODVOY	Cr	3
SOFXAM	Cr	2
SOFXIU	Cr	2
SOFYES	Cr	3
SOGXER	Cr	3
SOHKOR	Cr	3
