refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
DADMIF	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
DADMOL	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
DAGHUP	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
DAMHUW	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	5
DAMJAE	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
DAMJEI	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
DANBEZ	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
DANCOK	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
DANTOB	Re	4	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	2
DANTUH	Re	4	8888	{1: 9999, 3: 1.337743, 4: 9999, 5: 0.548752, 6: 9999, 7: 2.343409}	2
DAWFIR	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
DAYJAQ	Re	3	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	5
DAYJEU	Re	3	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
DAYLIA	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
DAYSUR	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
DEBJID	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
DECHOJ	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
DEFHAY	Re	3	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
DEGTUF	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
DEGVAN	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
DEHLOR	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
DEPPUK	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
DEPQAR	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
DEQQUM	Re	3	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
DEQROH	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
DEQRUN	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	5
