refcode	metal	charge_cif
FEZYUG	Fe	3
FEZZOB	Fe	3
FEZZUH	Fe	3
FIBJOQ	Fe	2
FIBRAL	Fe	3
FIBREQ	Fe	2
FIBRIT	Fe	3
FIBWOE50	Fe	3
FIBWUK	Fe	3
FIFMOZ	Fe	2
FIHFIO	Fe	3
FIHFUA	Fe	3
FIHRET	Fe	2
FIHXAX	Fe	3
FIHXEB	Fe	3
FIHXIF	Fe	3
FIHZIG	Fe	3
FIJGOX	Fe	2
FIJTIC	Fe	2
FIKKEQ	Fe	3
FIKYOP	Fe	3
FILCAF	Fe	2
FILFEM	Fe	3
FILKOC	Fe	3
FILSAU	Fe	3
FILSEY	Fe	0
FIMPIB	Fe	2
FIMPOH	Fe	3
FIMTOL	Fe	0
FIMVAZ	Fe	0
FINJIV	Fe	3
FINQOJ	Fe	2
FIPMID	Fe	3
FIQFUG	Fe	3
FIQJEV	Fe	2
FIRBIR	Fe	2
FISCIW	Fe	2
FISNIG	Fe	2
FITBIT	Fe	0
FITBOZ	Fe	0
FITFOD	Fe	2
FITTNS	Fe	2
FIVHAV	Fe	3
FIWXEP	Fe	2
FIYFEB	Fe	2
FIYHED	Fe	3
FIZXUI	Fe	2
FIZZUM	Fe	3
FOBREV	Fe	2
FOBRIZ	Fe	3
FOCSUM	Fe	3
FOCTAT	Fe	2
FOCTEZ	Fe	2
FOFPIB	Fe	3
FOFQOI	Fe	3
FOGFIS	Fe	2
FOGFOZ	Fe	2
FOGGAM	Fe	2
FOGLEV	Fe	2
FOHNAS	Fe	2
FOKPAY	Fe	3
FOLDIT	Fe	3
FOLXIQ	Fe	2
FOLXOW	Fe	2
FOLXUC	Fe	2
FONFAS	Fe	3
FONGEV	Fe	2
FONLAW	Fe	2
FONNIH	Fe	3
FONNUT	Fe	3
FONPAB	Fe	3
FONPIJ	Fe	3
FONPUT	Fe	0
FOQBOC	Fe	2
FOQNOP	Fe	2
FORVUE	Fe	3
FORXIV	Fe	3
FOSJOO	Fe	2
FOSKEF	Fe	2
FOSREN	Fe	2
FOSRUD	Fe	2
FOSSUD01	Fe	2
FOTNEI	Fe	2
FOTZET	Fe	0
FOVJEG	Fe	3
FOXROB	Fe	2
FOYXOI	Fe	3
FOYYAU03	Fe	2
FPMAFE10	Fe	0
FRMTFE	Fe	2
FUBJAP	Fe	3
FUCSOL	Fe	0
FUDMEW	Fe	2
FUDNIB	Fe	2
FUFJAS	Fe	2
