refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
ANEPEQ	Cu	2	7777	{1: 0.019004, 2: 0.000231, 3: 0.780672}	2
ANICEI	Cu	1	7777	{1: 0.35015, 2: 0.001642, 3: 0.185694}	2
ANICOS	Cu	9999	7777	{1: 0.469714, 2: 0.114908, 3: 0.000492}	3
ANODAL	Cu	1	7777	{1: 6.8e-05, 2: 0.241373, 3: 1.217447}	2
ANODIT	Cu	1	7777	{1: 0.000452, 2: 0.214791, 3: 1.190503}	3
ANOHAN	Cu	1	7777	{1: 0.270756, 2: 0.470725, 3: 0.884866}	1
ANOPOL	Cu	1	7777	{1: 0.000327, 2: 0.082876, 3: 9999}	3
ANOPUR	Cu	1	7777	{1: 8.8e-05, 2: 0.123701, 3: 9999}	3
ANOXAF	Cu	9999	7777	{1: 0.006999, 2: 0.099413, 3: 9999}	4
ANOXIN	Cu	9999	7777	{1: 0.01003, 2: 0.005515, 3: 9999}	4
ANPNCU	Cu	9999	7777	{1: 0.194998, 2: 6e-06, 3: 0.593011}	4
ANUFEX	Cu	2	7777	{1: 0.22997, 2: 0.000699, 3: 9999}	2
ANUFUN	Cu	2	7777	{1: 0.098065, 2: 9e-06, 3: 9999}	4
ANUJOL	Cu	2	7777	{1: 0.210912, 2: 2e-06, 3: 9999}	2
ANUNIH	Cu	2	7777	{1: 0.03923, 2: 0.171156, 3: 0.95366}	2
APACUN	Cu	2	7777	{1: 0.062354, 2: 0.000169, 3: 0.68626}	3
APARAN	Cu	9999	7777	{1: 0.247829, 2: 9e-06, 3: 9999}	2
APBPCN	Cu	2	7777	{1: 0.051995, 2: 5e-06, 3: 0.70882}	3
APEYIE	Cu	9999	7777	{1: 0.212681, 2: 0.000184, 3: 0.53679}	1
APITOJ	Cu	2	7777	{1: 0.202189, 2: 0.000945, 3: 0.600448}	2
APOFUI	Cu	2	7777	{1: 0.26622, 2: 0.007182, 3: 0.546332}	2
APOGUI	Cu	2	7777	{1: 0.208726, 2: 7.5e-05, 3: 0.529501}	3
APQZCU	Cu	2	7777	{1: 0.128476, 2: 2.5e-05, 3: 0.613226}	2
APROCU	Cu	9999	7777	{1: 0.000819, 2: 0.001052, 3: 9999}	2
APSUCC	Cu	2	7777	{1: 0.050701, 2: 7e-06, 3: 0.743892}	3
APUYOB	Cu	1	7777	{1: 0.034367, 2: 0.487977, 3: 9999}	2
AQAGIK	Cu	2	7777	{1: 0.042717, 2: 1e-05, 3: 0.747241}	3
AQANIQ	Cu	2	7777	{1: 0.306061, 2: 0.00033, 3: 0.285772}	3
AQAQEO	Cu	2	7777	{1: 0.189145, 2: 1.8e-05, 3: 0.606158}	3
AQAQOY	Cu	2	7777	{1: 0.216392, 2: 8.6e-05, 3: 0.554829}	4
AQAQUE	Cu	9999	7777	{1: 0.211468, 2: 1.1e-05, 3: 0.559445}	3
AQCBCU	Cu	9999	7777	{1: 0.174428, 2: 5.2e-05, 3: 0.474036}	2
AQEDEF	Cu	2	7777	{1: 0.227175, 2: 5.6e-05, 3: 0.561477}	3
AQEDUV	Cu	2	7777	{1: 0.145601, 2: 0.0, 3: 9999}	3
