refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
FUTVIZ	Fe	0	8888	{2: 9999, 3: 0.691973, 4: 9999, 6: 9999}	2
FUVRIA	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	4
FUVROG	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	3
FUWFIN	Fe	3	8888	{2: 0.908528, 3: 0.615838, 4: 9999, 6: 9999}	2
FUYVOM	Fe	2	2	{2: 0.031297, 3: 0.792627, 4: 9999, 6: 9999}	2
GABDEW	Fe	9999	8888	{2: 9999, 3: 0.733985, 4: 9999, 6: 9999}	2
GABPOQ	Fe	3	7777	{2: 0.150892, 3: 0.287425, 4: 9999, 6: 9999}	2
GABPUW	Fe	3	7777	{2: 0.185867, 3: 0.21974, 4: 9999, 6: 9999}	2
GACHAT	Fe	2	8888	{2: 9999, 3: 0.686153, 4: 9999, 6: 9999}	4
GACLIF	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	5
GACLUT	Fe	3	7777	{2: 0.000506, 3: 0.291838, 4: 9999, 6: 9999}	3
GACSOU	Fe	3	3	{2: 0.74343, 3: 0.056642, 4: 9999, 6: 9999}	1
GADMOR	Fe	2	2	{2: 5.6e-05, 3: 0.75754, 4: 9999, 6: 9999}	3
GADTIS	Fe	3	7777	{2: 0.339346, 3: 0.056883, 4: 9999, 6: 9999}	2
GAFYUJ	Fe	2	7777	{2: 0.236477, 3: 0.265067, 4: 9999, 6: 9999}	1
GAHBUO	Fe	2	2	{2: 0.048421, 3: 0.801776, 4: 9999, 6: 9999}	2
GAHJEG	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	3
GAKKOS	Fe	2	2	{2: 6.8e-05, 3: 0.548245, 4: 9999, 6: 9999}	2
GAKTUI	Fe	3	7777	{2: 0.003792, 3: 0.013074, 4: 9999, 6: 9999}	2
GAMCAY	Fe	2	3	{2: 9999, 3: 0.016636, 4: 9999, 6: 9999}	2
GAMJUA	Fe	2	3	{2: 9999, 3: 0.350383, 4: 9999, 6: 9999}	2
GAMQEQ	Fe	0	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	2
