refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
NOZLOD	Co	3	7777	{1: 9999, 2: 0.410092, 3: 0.096155, 4: 9999}	3
NOZPAT	Co	3	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	3
NOZREZ	Co	2	2	{1: 9999, 2: 0.001209, 3: 0.975997, 4: 9999}	4
NSACCO	Co	1	3	{1: 9999, 2: 0.685848, 3: 0.393639, 4: 9999}	2
NTMTUC	Co	2	2	{1: 9999, 2: 0.221418, 3: 1.077364, 4: 9999}	2
NUBHIB	Co	2	2	{1: 9999, 2: 0.016118, 3: 0.994907, 4: 9999}	2
NUBXAJ01	Co	1	7777	{1: 9999, 2: 0.317041, 3: 0.076287, 4: 9999}	3
NUCBEU	Co	2	2	{1: 9999, 2: 0.023291, 3: 1.082128, 4: 9999}	3
NUDVUF	Co	2	2	{1: 9999, 2: 0.002167, 3: 1.029617, 4: 9999}	3
NUDWEQ	Co	2	2	{1: 9999, 2: 0.00088, 3: 1.007227, 4: 9999}	2
NUFXIX	Co	2	2	{1: 9999, 2: 0.11586, 3: 1.129355, 4: 9999}	3
NUFXOD	Co	2	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	3
NUJSER	Co	2	2	{1: 9999, 2: 0.000831, 3: 1.024454, 4: 9999}	4
NUKHOS	Co	2	2	{1: 9999, 2: 0.012698, 3: 1.079244, 4: 9999}	3
NUKWIB	Co	3	3	{1: 9999, 2: 9999, 3: 0.059846, 4: 9999}	4
NULCAA	Co	3	3	{1: 9999, 2: 9999, 3: 0.064695, 4: 9999}	4
NULPUG	Co	2	2	{1: 9999, 2: 0.004563, 3: 0.812159, 4: 9999}	1
NULQAN	Co	2	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	1
NULQER	Co	2	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	1
NULQIV	Co	2	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	2
NULQOB	Co	2	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	2
NUMNUE	Co	2	2	{1: 9999, 2: 0.147869, 3: 1.134196, 4: 9999}	2
NUMQES	Co	3	3	{1: 9999, 2: 0.777369, 3: 0.072526, 4: 9999}	3
NUMQIW	Co	3	7777	{1: 9999, 2: 0.48731, 3: 0.021161, 4: 9999}	4
NUMQOC	Co	9999	7777	{1: 9999, 2: 0.403045, 3: 0.052374, 4: 9999}	4
NUMZEA	Co	9999	2	{1: 9999, 2: 0.012544, 3: 0.857007, 4: 9999}	1
NUNBIH	Co	3	3	{1: 9999, 2: 0.561469, 3: 0.253277, 4: 9999}	3
NUNBON	Co	3	3	{1: 9999, 2: 0.523041, 3: 0.204571, 4: 9999}	3
NUNJOX	Co	2	7777	{1: 9999, 2: 0.308434, 3: 0.186381, 4: 9999}	4
NUNLIS	Co	3	7777	{1: 9999, 2: 0.460558, 3: 0.138143, 4: 9999}	1
NUNZOM	Co	2	2	{1: 9999, 2: 0.115496, 3: 1.262263, 4: 9999}	3
NUPBOQ	Co	2	2	{1: 9999, 2: 0.006947, 3: 1.072804, 4: 9999}	3
NUPTAT	Co	2	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	2
NURMIX	Co	2	2	{1: 9999, 2: 0.003551, 3: 1.066789, 4: 9999}	2
NURPIB	Co	1	8888	{1: 9999, 2: 9999, 3: 1.61567, 4: 9999}	2
NURPUN	Co	1	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	2
NURRIC	Co	3	3	{1: 9999, 2: 0.980322, 3: 0.35882, 4: 9999}	2
NURVIF	Co	9999	3	{1: 9999, 2: 0.644079, 3: 0.014557, 4: 9999}	3
NUSHOA	Co	3	8888	{1: 9999, 2: 0.819447, 3: 0.504024, 4: 9999}	4
NUTGAK	Co	2	2	{1: 9999, 2: 0.082359, 3: 0.831486, 4: 1.711043}	2
NUTGUF	Co	2	8888	{1: 9999, 2: 9999, 3: 1.001322, 4: 9999}	3
